Updated_RMSE,Updated_R2,RMSE_Rank,R2_Rank
0.2016202148110006,0.11784954748233045,171,171
0.20452879974078028,0.09345020873712129,198,198
0.17882480474536275,0.3024756782159921,106,106
0.2092181791586459,0.05087531434553538,72,72
0.2015847338069453,0.11608484626186255,75,75
0.20621032389967223,0.07864450488769226,62,62
0.19772637333926224,0.15166115049776563,176,176
0.1888408110287608,0.2182587690208947,71,204
0.20074000992532046,0.1270491778109888,204,71
0.19398601794672649,0.18190211352728347,173,173
0.1907596787669453,0.21135022298402562,276,276
0.18656377946062544,0.24580544307329621,227,227
0.20176128372672186,0.11779123178094775,240,240
0.1898167522033866,0.2190058868924577,42,42
0.19060100831391005,0.2128108148038106,179,179
0.2216352918922747,-0.06460585935493479,269,269
0.19927976113784532,0.13949158986388244,53,53
0.2001419974074899,0.13189518644874287,119,119
0.20312973116172656,0.10584258418546211,116,116
0.20729035899067264,0.06874369239312794,81,187
0.20070025826007498,0.1269147126536181,168,81
0.2090201825766149,0.05302774996067294,187,25
0.19652841187077283,0.1632717474379275,25,168
0.19251605205231415,0.19681623013437732,65,65
0.1967750033687848,0.16093915007385995,155,155
0.17638082558641396,0.32559760969001483,84,84
0.2048899302381875,0.09018676715625396,59,257
0.20862159766917784,0.056944815718491415,257,185
0.1857505614342915,0.2523232587133335,185,233
0.3870409072992409,-2.2458788871706954,166,59
0.21255991031217486,0.020858542964187765,2,166
0.19038043677547328,0.2126318029626897,233,2
0.19376273085792292,0.18543716909145602,114,114
0.2122097818573138,0.0244456890871928,177,111
0.19333684392139466,0.1868355757834187,151,191
0.20002049374148362,0.1293440347545156,191,151
0.1995050539763915,0.13167672361770755,111,177
0.3875078230733667,-2.257094454483096,208,281
0.19805377023767648,0.1500203240252891,281,208
0.3852918161839314,-2.2567448836100117,217,217
0.21752141072323106,-0.026009859756433773,270,270
0.2128926506934886,0.01344534770835415,43,43
0.17249297562805493,0.3510785507931967,207,186
0.18164265030414775,0.2805116421818804,238,181
0.2067473161579357,0.067490209605517,181,238
0.18920910836581925,0.2164888983134423,186,207
0.18655301238270638,0.2398458563843544,126,126
0.191104028009986,0.20541997235308151,160,160
0.38690858594744093,-2.2450108669029243,220,220
0.19088479311712547,0.21057098814838804,188,102
0.2029838838960875,0.10113027088705007,102,284
0.38613996974761333,-2.2471440341409723,284,188
0.18680904879410445,0.2391073460055153,236,236
0.17455251749474066,0.3365468812909759,200,200
0.22548318408670665,-0.10523254297099838,223,148
0.186106207934806,0.24745030134684887,148,223
0.18821607909388605,0.23101562125418496,94,94
0.21849634230762802,-0.0396663570845579,76,76
0.20133584282663414,0.12185933303870178,218,28
0.17815099755951863,0.3053954989421418,28,202
0.3857393489630808,-2.2510409713095725,73,218
0.38655060026304594,-2.244839366918269,202,121
0.16774210399658143,0.3861562883492572,55,55
0.20995380843943545,0.0352637666958443,121,73
0.21866556901207307,-0.04028657455406015,262,11
0.17744226407553243,0.31792064003916054,285,285
0.20829380231746353,0.05029211351018026,129,183
0.20868705231748622,0.048156361743691756,46,129
0.19672158611104384,0.15967369153578626,11,262
0.19627273311620227,0.1595854180012376,183,190
0.1945101874466746,0.17253948255966478,170,289
0.170144140370337,0.3688181676064566,52,46
0.1664495239434579,0.3959323048430544,289,170
0.18599443990374884,0.24726602007492626,260,52
0.20429980328982747,0.09058134261257034,190,260
0.16675732353332393,0.3937796390783448,235,235
0.18515480242511173,0.2531362670534597,98,192
0.20723733341154982,0.06592054405359227,205,98
0.20261063346389313,0.10941298640257624,135,161
0.2251393178875853,-0.1095325321822902,192,135
0.20117245232909542,0.12150936210586516,161,205
0.17596632143879345,0.3270345777954734,56,229
0.19670645248489654,0.1589655265157367,146,56
0.20085356279757338,0.12312908557166846,229,203
0.17809445221438935,0.31045089914801083,277,146
0.21169572582982324,0.02727289412509093,127,277
0.20877760716917904,0.05424657692210055,203,127
0.19022584920031899,0.21511059425037626,7,112
0.19305305697643388,0.19244776662011864,158,216
0.19387630098962422,0.18566275807088073,112,228
0.1958689508432335,0.16779436598167197,45,158
0.20054053527795476,0.12859189272267613,216,13
0.1905870852584245,0.21274774768287874,228,153
0.20462709228069187,0.0922580141006425,153,7
0.1847056335650797,0.2586016361651893,219,133
0.20540674555706614,0.08453974548809695,133,225
0.1976456382058791,0.1537541485128895,13,45
0.19714784488037868,0.15796032048664455,225,219
0.18756113893655724,0.23387830788359298,231,87
0.20233350716844792,0.10930748338138718,164,231
0.22398791525300663,-0.09073395955423047,87,201
0.19499902831488772,0.17558650368352446,246,226
0.18370570442352727,0.2686453833866018,31,14
0.19365593919061863,0.18730001012293007,201,92
0.19796408864461817,0.15055818294602685,226,31
0.20452490725124223,0.09359450092339106,92,10
0.16569691714763493,0.4045443041255651,14,49
0.38690858594744093,-2.2450108669029243,211,164
0.19484702141839746,0.17494324626048352,10,246
0.20570683904068057,0.0789201709383901,49,47
0.19161170733165986,0.20219154937992723,47,251
0.18004422820126548,0.29753123276791116,253,253
0.1891580243136358,0.2231840333815056,261,110
0.20454137411289186,0.08910784104804903,251,211
0.17944751133030928,0.30020447552716567,110,272
0.2060683960513853,0.077264281012275,272,261
0.17515758409549578,0.3331985278457885,23,23
0.38725919906078443,-2.2488745492106013,165,122
0.19904929196351795,0.14049520821381367,122,88
0.17471251365977847,0.3355721399593605,88,234
0.20629278537363824,0.07583699835481461,234,165
0.18615266440547756,0.2474783283190385,245,282
0.19266603416410077,0.1944642285175463,282,103
0.20289598397737432,0.10722402263398612,34,34
0.19782135734580222,0.14675465430077916,103,290
0.3862048652395624,-2.2466486438316506,32,89
0.1827424624220706,0.27375120583182055,290,32
0.18858359258215057,0.22649844901050942,212,9
0.19451426147423131,0.18027986041397592,89,128
0.18649415698274505,0.24379462951609998,9,212
0.19856267237797265,0.14474686285399074,70,245
0.20484262331115277,0.09016546263904213,128,263
0.2018229840085976,0.11730992904024884,263,101
0.18980804047306504,0.21819206747021969,108,108
0.20919676886614016,0.04886188726135454,180,180
0.1876513658784287,0.23265860526372695,101,70
0.20891717875428656,0.05218305574125004,244,244
0.19932892656048853,0.13718672292794698,90,90
0.200987579131275,0.12305475461437876,182,182
0.20070290656379017,0.1244440388399537,69,22
0.38759332546221736,-2.2631880248340575,22,24
0.23992222480821532,-0.25142657812473646,82,68
0.2012093713186448,0.12001961130125993,68,69
0.21409814140949138,0.0052896067555838755,24,82
0.38767019870359615,-2.2800635902261366,149,149
0.19774207654353235,0.14696974279466823,209,97
0.188278600304767,0.22811319594346857,97,209
0.1984175001151413,0.14610761597849775,96,96
0.18455843475983544,0.2618868556335575,6,195
0.1970229949775545,0.15854043015286856,145,6
0.38767019870359615,-2.2800635902261366,195,104
0.17962230084690345,0.2962403763570398,124,38
0.20199745005521044,0.1114181818470007,184,174
0.18961716643947002,0.2185720436605364,104,184
0.20261326056727974,0.10986169202233109,174,145
0.17780847600912653,0.3148928185160882,38,124
0.19816567046448197,0.14280564195517154,156,147
0.1992807756450652,0.13326119781071288,147,130
0.18889714217019918,0.22168641386236532,130,156
0.21614026978679812,-0.017493469438733422,167,118
0.18315915964057428,0.2709645877015776,118,16
0.18805107648115008,0.233132986954102,169,264
0.2064593001031821,0.07655364093785999,175,215
0.21264922419527713,0.012925193982906258,16,137
0.1901864778052688,0.21044619115680907,157,167
0.19258951729699053,0.19036783913408228,137,169
0.1784690980117918,0.30473795843861085,264,175
0.1990112926659215,0.1354743099150325,215,157
0.17602453438352111,0.3236540865323251,36,17
0.19913815307672023,0.13437176906144,35,36
0.18669154898080173,0.2393116801692916,17,35
0.15875892168862304,0.4501521440567242,279,91
0.201352839042623,0.11639424149658195,91,279
0.17057906229314046,0.367547329515689,20,8
0.19802362914044427,0.1497758644542061,139,20
0.1991644283121621,0.13404784666070124,8,139
0.16926312938949048,0.37461538374653147,83,83
0.17961386815889507,0.2958954325622034,250,138
0.3876696750721522,-2.2790873593841163,138,250
0.17297383325098517,0.3480024150792187,80,58
0.1949617687105128,0.17312029817843433,142,80
0.1823173125737992,0.27857693310055387,58,142
0.19610407646344083,0.16533682829929297,172,271
0.18662873844960076,0.24451395822947153,4,0
0.1979453330227655,0.14752290642708366,0,12
0.17846332563657494,0.3061333882871581,271,132
0.18235653865669582,0.2796019141812234,12,172
0.17612594285947877,0.3279488968830103,132,267
0.18367976604617445,0.26468655855426726,197,4
0.2095431669808066,0.04878048639975974,267,197
0.18719095810153505,0.24086638334025334,152,152
0.17991332417097675,0.2963575989619216,213,213
0.1877589997266531,0.2340956220419066,99,154
0.22129683485526352,-0.06457374422920203,78,78
0.20522069364510045,0.08752479253119905,154,99
0.19779251788645957,0.15212713187572957,206,123
0.22133068320713536,-0.06710043229728169,242,18
0.2019499291842325,0.11607319425696061,123,266
0.16421402217064718,0.4155248619824966,266,287
0.21676820994069324,-0.03045158956651184,50,206
0.1844769722264875,0.26260040123899886,18,50
0.19040564256183076,0.2144618324266956,287,210
0.18607746963215654,0.24897051515241653,210,242
0.18871831666575262,0.22818923643884237,249,105
0.17031658511330275,0.37037117684064014,74,1
0.18762999388167473,0.23251090066207003,288,258
0.2027351172553269,0.10281825769813713,105,249
0.18221315202561345,0.27547647225916616,1,93
0.1800768324604454,0.29246975056380187,113,292
0.1970609441207818,0.15521822290728549,273,254
0.20346283905413626,0.10086319298985558,258,74
0.19074161820685065,0.2019853126589517,93,26
0.1938309287454795,0.18014093159824407,292,131
0.20219718790950655,0.11089873506011583,254,291
0.22802528715278153,-0.12683863155590025,131,113
0.19940062805751319,0.13810876409735506,291,288
0.18937014709933356,0.2223744080082528,26,273
0.18053166120389877,0.28919769495247083,237,194
0.18567496753440527,0.24843352393453222,194,237
0.18978242214116534,0.21533662981108348,243,95
0.18330004371970388,0.26883263860361817,95,243
0.3876105806329365,-2.264995498394043,109,109
0.21292339362769064,0.015727471956942574,115,5
0.18451685934030435,0.2614696203250284,5,115
0.21487609089545873,-0.004208790142340213,120,162
0.18989633608474354,0.2172315943007933,162,120
0.19046676460474302,0.21321507044000243,44,19
0.17196281199714808,0.35923643678945916,77,44
0.18950850733360586,0.2219273854519872,19,77
0.18837309998047652,0.23126611009895348,66,27
0.22336558134645773,-0.08087610780137688,239,239
0.18995656812900344,0.21467215054488553,27,86
0.3875969513092875,-2.263542691125739,67,21
0.17902228207505927,0.3055071505384539,275,136
0.1931233855578803,0.19148443232094658,86,275
0.18724924628932074,0.23593185371894887,136,3
0.1839321942410018,0.2626641105542632,21,66
0.20501995676688514,0.08495138403027658,134,134
0.18231187225028467,0.2765146983684842,3,189
0.20847951327172237,0.055173392611935324,189,67
0.17215708362809984,0.3578189931346656,274,274
0.22550137954234015,-0.10349219945419064,63,63
0.20281623634010362,0.09536777534621577,283,283
0.20539153412722003,0.08257291709295289,248,85
0.19554502024061177,0.17158270427833378,85,248
0.19313580997773047,0.17650224632118883,252,33
0.19031297652557547,0.20901871033827468,33,252
0.21512608317506013,-0.007729904166162482,30,30
0.21144972480389063,0.02458846414953364,163,222
0.2040083943554721,0.09267315061405146,41,41
0.20095712958305834,0.12194553216391857,222,163
0.1915681578168335,0.20305721321591763,286,286
0.21183737814165896,0.0233171514858298,143,143
0.1915295311175218,0.2024807939569776,224,224
0.20477141129596566,0.09161800652766294,247,247
0.22313388708617618,-0.08966283406888764,159,159
0.38597154127350486,-2.2486182465899502,199,40
0.17839976594582332,0.3103048480110019,40,199
0.20456070845662191,0.09344607596271925,57,57
0.22603096568022657,-0.1072577897028224,64,64
0.18714708437715105,0.23841047941385451,193,193
0.19155279977166306,0.19941705365902818,196,15
0.18618095589018277,0.243690008234148,15,196
0.19452151926085096,0.17647331755254858,278,278
0.19937396685242365,0.13887386608276786,265,230
0.22290382419918592,-0.08230719191432145,255,265
0.20289886186088252,0.10411785448885236,230,255
0.2019731836417694,0.11609685557263605,100,100
0.23456018283501817,-0.19531290718159822,79,241
0.17365649373540523,0.3425802563102589,54,54
0.18138903417091107,0.2862956992498219,241,259
0.20166176325461674,0.1182425952560151,259,79
0.19203890443525193,0.20017299613243822,214,214
0.20454658358099054,0.08884951918967043,268,268
0.20982140592276152,0.045986043318848924,141,141
0.20876515543155627,0.05166128937221859,39,280
0.17092821729972116,0.3670403641695401,60,61
0.18853131973145276,0.22668007564471904,256,48
0.22248098454799153,-0.07668018778640362,51,107
0.2003433712917025,0.1273911467010066,125,29
0.38667319177851434,-2.244611040181577,61,125
0.1802059451771597,0.29547976692778444,280,51
0.1933007317941209,0.1902248051237988,48,256
0.21143437030690565,0.03136794735888859,107,117
0.18391200828465754,0.2650213484518936,29,60
0.18647749672019823,0.24527129275009996,117,39
0.21341138948360355,0.012733029512045801,37,37
0.20346005971426384,0.1028691149115929,140,140
0.2045244063364441,0.08903368526080291,232,232
0.1869615047865344,0.24044550066178116,221,221
0.19377548531264557,0.18589979351160701,178,178
0.2048723631721328,0.08979757918785736,144,144
0.2046790167946469,0.09220255291423296,150,150
