,y_true,y_pred
0,15.1,11.793882
1,12.5,9.299761
2,0.6,7.2454543
3,13.8,12.0453615
4,2.8,9.056118
5,8.6,11.135735
6,5.5,14.233421
7,22.9,12.408553
8,10.0,9.993701
9,3.3,4.8438797
10,7.8,8.676211
11,8.4,9.956697
12,7.9,9.128391
13,7.4,9.603347
14,8.4,10.157514
15,7.8,10.172384
16,8.4,8.716332
17,7.9,9.014965
18,8.1,9.743694
19,7.8,10.370747
20,7.5,8.511891
21,7.5,9.295736
22,10.9,8.014418
23,8.0,9.466028
24,8.2,8.956159
25,7.2,9.539282
26,7.8,9.733812
27,12.0,11.327401
28,8.2,9.864508
29,12.0,11.327401
30,12.5,9.1520815
31,16.4,7.7158575
32,14.8,7.62888
33,10.1,8.587765
34,17.8,8.587765
35,18.1,8.210106
36,20.0,8.210106
37,6.1,8.718721
38,12.2,8.929459
39,23.3,9.108623
40,13.9,9.191628
41,18.3,6.180165
42,19.8,6.762817
43,19.7,9.108623
44,20.0,12.026991
45,22.0,10.620721
46,20.8,9.108623
47,17.9,8.194837
48,13.2,8.141425
49,11.5,8.627723
50,20.0,9.108399
51,18.7,9.109671
52,19.6,9.1090355
53,18.6,9.108823
54,17.1,9.108579
55,16.6,9.10847
56,15.5,9.108399
57,1.8,7.816484
58,10.0,7.0157266
59,22.0,13.922236
60,21.0,15.222061
61,16.0,12.9407
62,20.0,13.692664
63,22.0,15.379973
64,2.6,10.316658
65,10.4,7.015792
66,22.1,13.921717
67,21.2,15.221335
68,15.9,12.939232
69,20.0,13.691884
70,21.6,15.37925
71,0.9,5.8507214
72,0.9,4.9908147
73,2.5,5.0069613
74,1.4,3.931305
75,1.0,4.011925
76,1.5,6.401541
77,2.9,7.281494
78,5.8,8.712743
79,22.1,13.508029
80,5.0,13.414314
81,3.6,3.0219467
82,3.5,7.961456
83,3.5,7.8487825
84,3.3,8.0475645
85,5.1,11.204797
86,5.6,11.7032175
87,6.1,12.108998
88,8.5,12.287358
89,9.2,12.169079
90,14.5,12.045263
91,8.5,11.1913595
92,7.7,9.662367
93,7.1,7.9961796
94,3.7,6.601627
95,5.6,9.067377
96,10.5,10.441139
97,9.3,13.706253
98,18.7,6.7673707
99,2.6,8.656156
100,17.2,9.384011
101,13.6,9.377504
102,12.5,8.024604
103,12.4,7.936835
104,7.5,12.72177
105,12.1,14.018217
106,14.2,15.641764
107,13.2,7.6748996
108,16.8,7.6650114
109,18.3,7.6575556
110,16.7,7.653399
111,12.4,7.6494393
112,4.8,7.7309685
113,18.5,7.649995
114,16.8,7.5770907
115,16.7,7.5609846
116,16.9,7.6251016
117,9.7,6.584174
118,14.6,7.274692
119,18.3,8.112374
120,16.0,8.765538
121,16.0,9.255595
122,15.1,9.739764
123,14.1,10.190193
124,19.6,10.195314
125,18.3,10.40009
126,17.5,10.5941925
127,17.6,10.778101
128,11.4,10.983786
129,3.2,6.2310495
130,14.5,7.3197646
131,6.7,7.3197083
132,8.1,7.3197083
133,5.4,7.3197083
134,3.6,11.791799
135,1.3,11.791799
136,4.5,11.791799
137,4.5,11.791799
138,4.9,11.791799
139,3.5,11.791799
140,4.2,11.791799
141,3.3,11.791799
142,3.5,11.791799
143,5.4,11.791799
144,0.2,1.8264326
145,0.5,7.286367
146,1.9,9.6578665
147,6.2,8.719682
148,12.3,7.3195367
149,13.2,8.140434
150,0.2,6.0273004
151,0.6,5.3782706
152,1.8,4.9693346
153,3.6,4.9181924
154,6.7,4.8536005
155,8.2,7.5128565
156,0.1,3.877673
157,0.2,6.0273004
158,0.6,5.37827
159,1.7,4.9693346
160,3.7,4.9181924
161,6.5,4.8536005
162,9.4,7.5128565
163,0.1,4.6028466
164,0.1,5.5611653
165,0.1,6.6849766
166,0.1,8.16256
167,0.1,7.519972
168,0.1,6.8016744
169,0.1,6.0273004
170,0.2,5.3782706
171,1.2,4.9181924
172,3.5,4.8536005
173,6.8,7.5128565
174,0.027,6.8016744
175,0.1,6.0273004
176,0.2,5.3782706
177,0.4,4.9693346
178,1.3,4.9181924
179,2.7,4.8536005
180,5.2,7.5128565
181,15.3,6.8949347
182,6.1,7.938169
183,2.6,9.039564
184,19.0,12.6725855
185,10.8,13.059854
186,11.3,14.159818
187,19.3,13.028797
188,10.9,11.23532
189,9.3,9.021868
190,17.1,8.195756
191,16.5,8.195756
192,17.1,8.195756
193,11.6,9.31932
194,7.8,9.744349
195,18.9,9.987773
196,12.8,9.856621
197,12.9,11.1567545
198,23.1,10.645506
199,12.0,12.06278
200,11.9,9.702968
201,6.1,8.445788
202,12.5,9.344911
203,15.4,8.454215
204,19.5,9.1114025
205,0.1,0.00029999999
206,0.3,0.00029999999
207,0.4,0.00029999999
208,2.7,7.276638
209,16.2,8.718526
210,23.2,8.14076
211,0.3,0.0351817
212,3.0,0.7126815
213,7.9,6.212483
214,13.2,7.2487326
215,13.9,8.278102
216,0.7,0.00029999999
217,1.0,0.26490918
218,1.5,1.7901435
219,2.4,6.845799
220,3.7,9.129609
221,4.8,9.761156
222,6.0,8.357664
223,2.9,10.019298
224,5.0,8.828963
225,6.3,6.656721
226,8.4,8.194223
227,11.4,10.919658
228,11.0,13.627501
229,11.1,13.064097
230,2.3,10.066536
231,4.1,9.29873
232,8.2,6.655545
233,13.3,8.193319
234,19.2,11.660338
235,19.3,13.627065
236,18.4,12.536444
237,18.3,13.034601
238,17.1,14.745975
239,11.9,14.713336
240,5.4,14.232129
241,24.5,14.745975
242,17.5,14.713336
243,11.3,14.232129
244,26.2,14.745975
245,20.7,14.714441
246,18.6,14.236704
247,20.0,8.357856
248,19.5,8.195756
249,17.3,13.565965
250,16.0,5.4216127
251,18.2,9.323767
252,17.2,9.537477
253,10.8,5.4216127
254,22.0,9.323766
255,19.7,9.537477
256,12.4,7.3483887
257,11.2,7.3559184
258,12.7,7.352425
259,3.1,8.971486
260,0.4,7.9007587
261,0.4,8.704173
262,2.3,9.547954
263,10.8,8.33602
264,1.6,9.344113
265,2.4,10.115175
266,8.5,8.768047
267,16.5,9.989951
268,1.0,10.115175
269,6.0,9.312185
270,13.7,10.579044
271,6.3,10.673089
272,1.8,9.312185
273,12.3,11.12919
274,18.0,11.174066
275,9.3,9.788249
276,2.6,11.12919
277,17.7,11.778033
278,17.2,10.264312
279,15.1,11.672158
280,14.7,12.868017
281,12.6,11.837166
282,11.9,11.327766
283,16.7,13.68575
284,15.3,12.925458
285,13.2,11.89461
286,12.6,11.376921
287,18.7,13.751614
288,16.7,12.989595
289,13.6,11.958743
290,14.0,11.43375
291,12.2,10.434864
