Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE
723,1,0.648,0.704915299,1.021723868,0.68754098
723,1,0.72,0.704915299,1.021723868,0.68754098
723,1,0.792,0.704915299,1.021723868,0.68754098
723,1,0.864,0.704915299,1.021723868,0.68754098
723,1,0.936,0.704915299,1.021723868,0.68754098
723,1,1.008,0.704915299,1.021723868,0.68754098
723,1,1.08,0.704915299,1.021723868,0.68754098
723,1,1.152,0.704915299,1.021723868,0.68754098
723,1,1.224,0.704915299,1.021723868,0.68754098
723,1,1.296,0.704915299,1.021723868,0.68754098
723,1,1.368,0.704915299,1.021723868,0.68754098
723,1,1.44,0.704915299,1.021723868,0.68754098
723,1.25,0.648,0.704915299,1.021723868,0.68754098
723,1.25,0.72,0.704915299,1.021723868,0.68754098
723,1.25,0.792,0.704915299,1.021723868,0.68754098
723,1.25,0.864,0.704915299,1.021723868,0.68754098
723,1.25,0.936,0.704915299,1.021723868,0.68754098
723,1.25,1.008,0.704915299,1.021723868,0.68754098
723,1.25,1.08,0.704915299,1.021723868,0.68754098
723,1.25,1.152,0.704915299,1.021723868,0.68754098
723,1.25,1.224,0.704915299,1.021723868,0.68754098
723,1.25,1.296,0.704915299,1.021723868,0.68754098
723,1.25,1.368,0.704915299,1.021723868,0.68754098
723,1.25,1.44,0.704915299,1.021723868,0.68754098
746.2,1,0.648,0.704915299,1.021723868,0.68754098
746.2,1,0.72,0.704915299,1.021723868,0.68754098
746.2,1,0.792,0.704915299,1.021723868,0.68754098
746.2,1,0.864,0.704915299,1.021723868,0.68754098
746.2,1,0.936,0.704915299,1.021723868,0.68754098
746.2,1,1.008,0.704915299,1.021723868,0.68754098
746.2,1,1.08,0.704915299,1.021723868,0.68754098
746.2,1,1.152,0.704915299,1.021723868,0.68754098
746.2,1,1.224,0.704915299,1.021723868,0.68754098
746.2,1,1.296,0.704915299,1.021723868,0.68754098
746.2,1,1.368,0.704915299,1.021723868,0.68754098
746.2,1,1.44,0.704915299,1.021723868,0.68754098
746.2,1.25,0.648,0.704915299,1.021723868,0.68754098
746.2,1.25,0.72,0.704915299,1.021723868,0.68754098
746.2,1.25,0.792,0.704915299,1.021723868,0.68754098
746.2,1.25,0.864,0.704915299,1.021723868,0.68754098
746.2,1.25,0.936,0.704915299,1.021723868,0.68754098
746.2,1.25,1.008,0.704915299,1.021723868,0.68754098
746.2,1.25,1.08,0.704915299,1.021723868,0.68754098
746.2,1.25,1.152,0.704915299,1.021723868,0.68754098
746.2,1.25,1.224,0.704915299,1.021723868,0.68754098
746.2,1.25,1.296,0.704915299,1.021723868,0.68754098
746.2,1.25,1.368,0.704915299,1.021723868,0.68754098
746.2,1.25,1.44,0.704915299,1.021723868,0.68754098
769.4,1,0.648,0.704915299,1.021723868,0.68754098
769.4,1,0.72,0.704915299,1.021723868,0.68754098
769.4,1,0.792,0.704915299,1.021723868,0.68754098
769.4,1,0.864,0.704915299,1.021723868,0.68754098
769.4,1,0.936,0.704915299,1.021723868,0.68754098
769.4,1,1.008,0.704915299,1.021723868,0.68754098
769.4,1,1.08,0.704915299,1.021723868,0.68754098
769.4,1,1.152,0.704915299,1.021723868,0.68754098
769.4,1,1.224,0.704915299,1.021723868,0.68754098
769.4,1,1.296,0.704915299,1.021723868,0.68754098
769.4,1,1.368,0.704915299,1.021723868,0.68754098
769.4,1,1.44,0.704915299,1.021723868,0.68754098
769.4,1.25,0.648,0.704915299,1.021723868,0.68754098
769.4,1.25,0.72,0.704915299,1.021723868,0.68754098
769.4,1.25,0.792,0.704915299,1.021723868,0.68754098
769.4,1.25,0.864,0.704915299,1.021723868,0.68754098
769.4,1.25,0.936,0.704915299,1.021723868,0.68754098
769.4,1.25,1.008,0.704915299,1.021723868,0.68754098
769.4,1.25,1.08,0.704915299,1.021723868,0.68754098
769.4,1.25,1.152,0.704915299,1.021723868,0.68754098
769.4,1.25,1.224,0.704915299,1.021723868,0.68754098
769.4,1.25,1.296,0.704915299,1.021723868,0.68754098
769.4,1.25,1.368,0.704915299,1.021723868,0.68754098
769.4,1.25,1.44,0.704915299,1.021723868,0.68754098
792.6,1,0.648,0.704915299,1.021723868,0.68754098
792.6,1,0.72,0.704915299,1.021723868,0.68754098
792.6,1,0.792,0.704915299,1.021723868,0.68754098
792.6,1,0.864,0.704915299,1.021723868,0.68754098
792.6,1,0.936,0.704915299,1.021723868,0.68754098
792.6,1,1.008,0.704915299,1.021723868,0.68754098
792.6,1,1.08,0.704915299,1.021723868,0.68754098
792.6,1,1.152,0.704915299,1.021723868,0.68754098
792.6,1,1.224,0.704915299,1.021723868,0.68754098
792.6,1,1.296,0.704915299,1.021723868,0.68754098
792.6,1,1.368,0.704915299,1.021723868,0.68754098
792.6,1,1.44,0.704915299,1.021723868,0.68754098
792.6,1.25,0.648,0.704915299,1.021723868,0.68754098
792.6,1.25,0.72,0.704915299,1.021723868,0.68754098
792.6,1.25,0.792,0.704915299,1.021723868,0.68754098
792.6,1.25,0.864,0.704915299,1.021723868,0.68754098
792.6,1.25,0.936,0.704915299,1.021723868,0.68754098
792.6,1.25,1.008,0.704915299,1.021723868,0.68754098
792.6,1.25,1.08,0.704915299,1.021723868,0.68754098
792.6,1.25,1.152,0.704915299,1.021723868,0.68754098
792.6,1.25,1.224,0.704915299,1.021723868,0.68754098
792.6,1.25,1.296,0.704915299,1.021723868,0.68754098
792.6,1.25,1.368,0.704915299,1.021723868,0.68754098
792.6,1.25,1.44,0.704915299,1.021723868,0.68754098
815.8,1,0.648,0.704915299,1.021723868,0.68754098
815.8,1,0.72,0.704915299,1.021723868,0.68754098
815.8,1,0.792,0.704915299,1.021723868,0.68754098
815.8,1,0.864,0.704915299,1.021723868,0.68754098
815.8,1,0.936,0.704915299,1.021723868,0.68754098
815.8,1,1.008,0.704915299,1.021723868,0.68754098
815.8,1,1.08,0.704915299,1.021723868,0.68754098
815.8,1,1.152,0.704915299,1.021723868,0.68754098
815.8,1,1.224,0.704915299,1.021723868,0.68754098
815.8,1,1.296,0.704915299,1.021723868,0.68754098
815.8,1,1.368,0.704915299,1.021723868,0.68754098
815.8,1,1.44,0.704915299,1.021723868,0.68754098
815.8,1.25,0.648,0.704915299,1.021723868,0.68754098
815.8,1.25,0.72,0.704915299,1.021723868,0.68754098
815.8,1.25,0.792,0.704915299,1.021723868,0.68754098
815.8,1.25,0.864,0.704915299,1.021723868,0.68754098
815.8,1.25,0.936,0.704915299,1.021723868,0.68754098
815.8,1.25,1.008,0.704915299,1.021723868,0.68754098
815.8,1.25,1.08,0.704915299,1.021723868,0.68754098
815.8,1.25,1.152,0.704915299,1.021723868,0.68754098
815.8,1.25,1.224,0.704915299,1.021723868,0.68754098
815.8,1.25,1.296,0.704915299,1.021723868,0.68754098
815.8,1.25,1.368,0.704915299,1.021723868,0.68754098
815.8,1.25,1.44,0.704915299,1.021723868,0.68754098
1047.8,1,0.648,0.716433745,1.00148518,0.771966677
1047.8,1,0.72,0.713261812,1.007070841,0.766550132
1047.8,1,0.792,0.710047554,1.012699608,0.76120655
1047.8,1,0.864,0.70687562,1.018223752,0.755790004
1047.8,1,0.936,0.703661362,1.023791202,0.750446422
1047.8,1,1.008,0.700489429,1.029255818,0.745029876
1047.8,1,1.08,0.697317496,1.034691573,0.739613331
1047.8,1,1.152,0.694145563,1.040098921,0.734196786
1047.8,1,1.224,0.69097363,1.045478301,0.72878024
1047.8,1,1.296,0.687801697,1.050830143,0.723363695
1047.8,1,1.368,0.684629764,1.056154867,0.71794715
1047.8,1,1.44,0.681457831,1.06145288,0.712530605
1047.8,1.25,0.648,0.716433745,1.00148518,0.771966677
1047.8,1.25,0.72,0.713261812,1.007070841,0.766550132
1047.8,1.25,0.792,0.710047554,1.012699608,0.76120655
1047.8,1.25,0.864,0.70687562,1.018223752,0.755790004
1047.8,1.25,0.936,0.703661362,1.023791202,0.750446422
1047.8,1.25,1.008,0.700489429,1.029255818,0.745029876
1047.8,1.25,1.08,0.697317496,1.034691573,0.739613331
1047.8,1.25,1.152,0.694145563,1.040098921,0.734196786
1047.8,1.25,1.224,0.69097363,1.045478301,0.72878024
1047.8,1.25,1.296,0.687801697,1.050830143,0.723363695
1047.8,1.25,1.368,0.684629764,1.056154867,0.71794715
1047.8,1.25,1.44,0.681457831,1.06145288,0.712530605
1071,1,0.648,0.705634596,1.020392051,0.764224547
1071,1,0.72,0.702030366,1.02661992,0.760979037
1071,1,0.792,0.69838544,1.03287992,0.757798469
1071,1,0.864,0.69478121,1.039032941,0.754552959
1071,1,0.936,0.691136283,1.045218601,0.751372391
1071,1,1.008,0.687532053,1.051299408,0.748126881
1071,1,1.08,0.683927823,1.057345246,0.74488137
1071,1,1.152,0.680323593,1.063356709,0.74163586
1071,1,1.224,0.676719363,1.069334379,0.73839035
1071,1,1.296,0.673115133,1.075278818,0.73514484
1071,1,1.368,0.669510903,1.081190575,0.731899329
1071,1,1.44,0.665906673,1.087070183,0.728653819
1071,1.25,0.648,0.705634596,1.020392051,0.764224547
1071,1.25,0.72,0.702030366,1.02661992,0.760979037
1071,1.25,0.792,0.69838544,1.03287992,0.757798469
1071,1.25,0.864,0.69478121,1.039032941,0.754552959
1071,1.25,0.936,0.691136283,1.045218601,0.751372391
1071,1.25,1.008,0.687532053,1.051299408,0.748126881
1071,1.25,1.08,0.683927823,1.057345246,0.74488137
1071,1.25,1.152,0.680323593,1.063356709,0.74163586
1071,1.25,1.224,0.676719363,1.069334379,0.73839035
1071,1.25,1.296,0.673115133,1.075278818,0.73514484
1071,1.25,1.368,0.669510903,1.081190575,0.731899329
1071,1.25,1.44,0.665906673,1.087070183,0.728653819
1094.2,1,0.648,0.539495295,1.276119618,1.089187198
1094.2,1,0.72,0.549409663,1.262307859,1.058130793
1094.2,1,0.792,0.559271145,1.248418201,1.027211987
1094.2,1,0.864,0.569185514,1.234296502,0.996155581
1094.2,1,0.936,0.579046995,1.220088002,0.965236775
1094.2,1,1.008,0.588961364,1.205634514,0.93418037
1094.2,1,1.08,0.598875732,1.191005639,0.903123964
1094.2,1,1.152,0.608790101,1.176194833,0.872067559
1094.2,1,1.224,0.618704469,1.161195132,0.841011153
1094.2,1,1.296,0.628618838,1.145999121,0.809954748
1094.2,1,1.368,0.638533207,1.130598884,0.778898342
1094.2,1,1.44,0.648447575,1.114985958,0.747841937
1094.2,1.25,0.648,0.539495295,1.276119618,1.089187198
1094.2,1.25,0.72,0.549409663,1.262307859,1.058130793
1094.2,1.25,0.792,0.559271145,1.248418201,1.027211987
1094.2,1.25,0.864,0.569185514,1.234296502,0.996155581
1094.2,1.25,0.936,0.579046995,1.220088002,0.965236775
1094.2,1.25,1.008,0.588961364,1.205634514,0.93418037
1094.2,1.25,1.08,0.598875732,1.191005639,0.903123964
1094.2,1.25,1.152,0.608790101,1.176194833,0.872067559
1094.2,1.25,1.224,0.618704469,1.161195132,0.841011153
1094.2,1.25,1.296,0.628618838,1.145999121,0.809954748
1094.2,1.25,1.368,0.638533207,1.130598884,0.778898342
1094.2,1.25,1.44,0.648447575,1.114985958,0.747841937
1117.4,1,0.648,0.709509399,1.013517761,0.682360106
1117.4,1,0.72,0.709509399,1.013517761,0.682360106
1117.4,1,0.792,0.709509399,1.013517761,0.682360106
1117.4,1,0.864,0.709509399,1.013517761,0.682360106
1117.4,1,0.936,0.709509399,1.013517761,0.682360106
1117.4,1,1.008,0.709509399,1.013517761,0.682360106
1117.4,1,1.08,0.709509399,1.013517761,0.682360106
1117.4,1,1.152,0.709509399,1.013517761,0.682360106
1117.4,1,1.224,0.709509399,1.013517761,0.682360106
1117.4,1,1.296,0.709509399,1.013517761,0.682360106
1117.4,1,1.368,0.709509399,1.013517761,0.682360106
1117.4,1,1.44,0.709509399,1.013517761,0.682360106
1117.4,1.25,0.648,0.709509399,1.013517761,0.682360106
1117.4,1.25,0.72,0.709509399,1.013517761,0.682360106
1117.4,1.25,0.792,0.709509399,1.013517761,0.682360106
1117.4,1.25,0.864,0.709509399,1.013517761,0.682360106
1117.4,1.25,0.936,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.008,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.08,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.152,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.224,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.296,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.368,0.709509399,1.013517761,0.682360106
1117.4,1.25,1.44,0.709509399,1.013517761,0.682360106
1140.6,1,0.648,0.667795368,1.083863378,0.927156368
1140.6,1,0.72,0.672260675,1.076554393,0.904941107
1140.6,1,0.792,0.676673669,1.069281954,0.882858679
1140.6,1,0.864,0.681138976,1.061872609,0.860643418
1140.6,1,0.936,0.68555197,1.054498921,0.838560991
1140.6,1,1.008,0.690017278,1.046984963,0.81634573
1140.6,1,1.08,0.694482585,1.039416689,0.794130469
1140.6,1,1.152,0.698947893,1.031792902,0.771915208
1140.6,1,1.224,0.703413201,1.024112363,0.749699947
1140.6,1,1.296,0.707878508,1.016373785,0.727484686
1140.6,1,1.368,0.712343816,1.008575833,0.705269425
1140.6,1,1.44,0.716809124,1.000717118,0.683054164
1140.6,1.25,0.648,0.667795368,1.083863378,0.927156368
1140.6,1.25,0.72,0.672260675,1.076554393,0.904941107
1140.6,1.25,0.792,0.676673669,1.069281954,0.882858679
1140.6,1.25,0.864,0.681138976,1.061872609,0.860643418
1140.6,1.25,0.936,0.68555197,1.054498921,0.838560991
1140.6,1.25,1.008,0.690017278,1.046984963,0.81634573
1140.6,1.25,1.08,0.694482585,1.039416689,0.794130469
1140.6,1.25,1.152,0.698947893,1.031792902,0.771915208
1140.6,1.25,1.224,0.703413201,1.024112363,0.749699947
1140.6,1.25,1.296,0.707878508,1.016373785,0.727484686
1140.6,1.25,1.368,0.712343816,1.008575833,0.705269425
1140.6,1.25,1.44,0.716809124,1.000717118,0.683054164
1163.8,1,0.648,0.620671117,1.158124759,0.993010361
1163.8,1,0.72,0.629724385,1.144221084,0.965553798
1163.8,1,0.792,0.638724795,1.130229056,0.938250536
1163.8,1,0.864,0.647778063,1.11597789,0.910793973
1163.8,1,0.936,0.656778474,1.101627197,0.88349071
1163.8,1,1.008,0.665831742,1.08700111,0.856034147
1163.8,1,1.08,0.67488501,1.07217552,0.828577584
1163.8,1,1.152,0.683938277,1.057142033,0.801121021
1163.8,1,1.224,0.692991545,1.04189165,0.773664458
1163.8,1,1.296,0.702044813,1.026414704,0.746207895
1163.8,1,1.368,0.711098081,1.010700785,0.718751332
1163.8,1,1.44,0.720151349,0.994738664,0.691294769
1163.8,1.25,0.648,0.620671117,1.158124759,0.993010361
1163.8,1.25,0.72,0.629724385,1.144221084,0.965553798
1163.8,1.25,0.792,0.638724795,1.130229056,0.938250536
1163.8,1.25,0.864,0.647778063,1.11597789,0.910793973
1163.8,1.25,0.936,0.656778474,1.101627197,0.88349071
1163.8,1.25,1.008,0.665831742,1.08700111,0.856034147
1163.8,1.25,1.08,0.67488501,1.07217552,0.828577584
1163.8,1.25,1.152,0.683938277,1.057142033,0.801121021
1163.8,1.25,1.224,0.692991545,1.04189165,0.773664458
1163.8,1.25,1.296,0.702044813,1.026414704,0.746207895
1163.8,1.25,1.368,0.711098081,1.010700785,0.718751332
1163.8,1.25,1.44,0.720151349,0.994738664,0.691294769
1187,1,0.648,0.750460875,0.939257899,0.500979889
1187,1,0.72,0.750460875,0.939257899,0.500979889
1187,1,0.792,0.750460875,0.939257899,0.500979889
1187,1,0.864,0.750460875,0.939257899,0.500979889
1187,1,0.936,0.750460875,0.939257899,0.500979889
1187,1,1.008,0.750460875,0.939257899,0.500979889
1187,1,1.08,0.750460875,0.939257899,0.500979889
1187,1,1.152,0.750460875,0.939257899,0.500979889
1187,1,1.224,0.750460875,0.939257899,0.500979889
1187,1,1.296,0.750460875,0.939257899,0.500979889
1187,1,1.368,0.750460875,0.939257899,0.500979889
1187,1,1.44,0.750460875,0.939257899,0.500979889
1187,1.25,0.648,0.750460875,0.939257899,0.500979889
1187,1.25,0.72,0.750460875,0.939257899,0.500979889
1187,1.25,0.792,0.750460875,0.939257899,0.500979889
1187,1.25,0.864,0.750460875,0.939257899,0.500979889
1187,1.25,0.936,0.750460875,0.939257899,0.500979889
1187,1.25,1.008,0.750460875,0.939257899,0.500979889
1187,1.25,1.08,0.750460875,0.939257899,0.500979889
1187,1.25,1.152,0.750460875,0.939257899,0.500979889
1187,1.25,1.224,0.750460875,0.939257899,0.500979889
1187,1.25,1.296,0.750460875,0.939257899,0.500979889
1187,1.25,1.368,0.750460875,0.939257899,0.500979889
1187,1.25,1.44,0.750460875,0.939257899,0.500979889
