,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,K-NN,SVR,GPR,DTR,RFR,XGB,LGBM,ETR,CB,MLP,probability_40,probability_80,probability_95,entropy,max_prob,margin
984,769.4,1.0,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813268,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.345121429655518,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
985,769.4,1.0,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813268,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.325167980173345,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1001,769.4,1.25,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813268,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.337736055055648,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1022,769.4,1.5,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813268,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.250536882527162,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1468,792.6,1.5,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813255,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.361818545557857,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1484,792.6,1.75,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813254,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.374386620440068,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1488,792.6,1.75,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813254,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.294572822511488,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1489,792.6,1.75,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813254,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.274619373029364,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1505,792.6,2.0,0.144,1.408573088,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813254,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.287187447911589,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1971,815.8,2.25,0.432,2.044605542,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322680136,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.331223387895965,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1972,815.8,2.25,0.504,2.044605542,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.31829332268014,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.31126993841382,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1988,815.8,2.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322679986,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.3238380132961085,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2454,839.0,2.75,0.432,1.893703691,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293010566543,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.367873953280442,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2455,839.0,2.75,0.504,1.893703691,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293010575927,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.3479205037982895,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2471,839.0,3.0,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293010315635,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.3604885786805925,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2475,839.0,3.0,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293010310435,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.280674780751927,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2476,839.0,3.0,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293010319781,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.260721331269818,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2492,839.0,3.25,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293010108886,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.273289406152071,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2954,862.2,3.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.31811665576207,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.39713914406502,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2958,862.2,3.5,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318116652077656,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.317325346136411,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2959,862.2,3.5,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318116657175812,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.2973718966542735,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
2975,862.2,3.75,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318116594328136,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.309939971536555,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
3442,885.4,4.0,0.504,0.0,1,['Temperature'],1.3269920245,6.294612727722435,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.334022462038708,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
3462,885.4,4.25,0.432,0.0,1,['Temperature'],1.3269920245,6.294611160720381,0.0,0.3788663799999999,0.3868336351765655,0.34316683,0.3942059099587354,1.1318499109023554,0.8097938670878664,6.26677673899241,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
3463,885.4,4.25,0.504,0.0,1,['Temperature'],1.3269920245,6.294611782326237,0.0,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.1009485104223284,0.8097938670878664,6.246823289510222,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
