,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,K-NN,SVR,GPR,DTR,RFR,XGB,LGBM,ETR,CB,MLP,scaled_probability_40,scaled_probability_80,scaled_probability_95,entropy,margin,max_prob
52,993.0,3.0,0.19,0.456602098,1,['pCH4_per_pO2'],0.5036977257499999,-0.0047609627827567,3.1619486940657784e-06,0.0,0.0227746530651413,0.2264335,0.0269607745993673,1.4313083741410189,0.3354240240171373,7.748668653924537,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4067,931.8,1.0,0.144,3.377779049,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,1.836519407237632,1.8212278143573392e-60,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,7.902277600674357,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4068,931.8,1.0,0.216,3.096741585,2,"['Temperature', 'pCH4_per_pO2']",0.0425239875,1.8362752881854352,1.799071856980771e-60,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.0922087672880054,-0.1524115231775482,7.8823241511922335,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4089,931.8,1.25,0.216,3.096741585,2,"['Temperature', 'pCH4_per_pO2']",0.0425239875,1.827255180008136,3.691455766456159e-60,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.0922087672880054,-0.1524115231775482,7.795124978663712,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4110,931.8,1.5,0.216,3.096741585,2,"['Temperature', 'pCH4_per_pO2']",0.0425239875,1.8189126646086853,7.115467224406147e-60,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.0922087672880054,-0.1524115231775482,7.707925806135198,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4131,931.8,1.75,0.216,3.096741585,2,"['Temperature', 'pCH4_per_pO2']",0.0425239875,1.8112515094838797,1.2884446637232156e-59,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.0922087672880054,-0.1524115231775482,7.6207266336067265,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4152,931.8,2.0,0.216,1.328061172,2,"['Temperature', 'pCH4_per_pO2']",0.0425239875,1.804275173245604,2.1917182032539837e-59,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.0922087672880054,-0.1524115231775482,7.533527461078212,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4508,955.0,1.0,0.144,4.475801888,1,['pCH4_per_pO2'],0.840843492,1.0341748505227375,0.0051351695766105,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,8.113326511115826,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4509,955.0,1.0,0.216,4.194765161,1,['pCH4_per_pO2'],0.840843492,1.0332091413195883,0.0043278867527243,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.1033553368325535,-0.1524115231775482,8.09337306163366,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4529,955.0,1.25,0.144,4.475801888,1,['pCH4_per_pO2'],0.840843492,1.0215292875707922,0.011120351612615,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,8.026127338587312,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4530,955.0,1.25,0.216,4.194765161,1,['pCH4_per_pO2'],0.840843492,1.0205610825257914,0.0094401192434716,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.1033553368325535,-0.1524115231775482,8.006173889105145,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4550,955.0,1.5,0.144,4.475801888,1,['pCH4_per_pO2'],0.840843492,1.009642841393192,0.0230240365895375,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.938928166058834,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4551,955.0,1.5,0.216,4.194765161,1,['pCH4_per_pO2'],0.840843492,1.0086722909649106,0.019736530603005,0.0,0.0019377591220078,-0.029055007,-0.0252714388819735,1.1033553368325535,-0.1524115231775482,7.918974716576703,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4571,955.0,1.75,0.144,4.475801888,1,['pCH4_per_pO2'],0.840843492,0.9985207055361932,0.0454734552115132,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.851728993530355,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4592,955.0,2.0,0.144,2.67647102,1,['pCH4_per_pO2'],0.840843492,0.9881677469175508,0.0853995132857452,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.764529821001827,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4613,955.0,2.25,0.144,0.825308839,1,['pCH4_per_pO2'],0.840843492,0.9785885023204424,0.1519331425299945,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.677330648473306,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4634,955.0,2.5,0.144,0.806875908,1,['pCH4_per_pO2'],0.840843492,0.9697871751221854,0.2550756981866868,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.590131475944855,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4655,955.0,2.75,0.144,0.666474633,1,['pCH4_per_pO2'],0.840843492,0.9617676322579882,0.4026206616664147,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1303006844315309,0.2361089010597172,7.502932303416398,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4680,955.0,3.0,0.432,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.9510506279460068,0.3952572357397201,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.1443688293572971,0.9165441728602292,7.335919332959226,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4681,955.0,3.0,0.504,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.950364567434086,0.3506874538484226,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.1125157236259555,0.9165441728602292,7.315965883477067,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4701,955.0,3.25,0.432,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.9446003676689028,0.5617838884465982,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.1443688293572971,0.9165441728602292,7.248720160430754,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4702,955.0,3.25,0.504,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.9439133969571838,0.5035739290561807,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.1125157236259555,0.9165441728602292,7.228766710948588,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4723,955.0,3.5,0.504,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.9382542442575224,0.6639337530478642,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.1125157236259555,0.9165441728602292,7.141567538420095,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4744,955.0,3.75,0.504,2.020660564,1,['pCH4_per_pO2'],1.284468037,0.933389607308829,0.8020682576534952,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.1125157236259555,0.9165441728602292,7.054368365891581,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4763,955.0,4.0,0.864,2.803691239,1,['Contact time'],0.37886638,0.9269900432314762,0.5068236291796921,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.2041974229000287,1.9879297813796528,6.867401945952328,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4764,955.0,4.0,0.936,2.803691239,1,['Contact time'],0.37886638,0.926746554641034,0.4514035509306495,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.2041974229000287,1.9879297813796528,6.847448496470155,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4765,955.0,4.0,1.008,2.803691239,1,['Contact time'],0.37886638,0.9265773721581808,0.401978372600368,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.2041974229000287,1.9879297813796528,6.827495046987996,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4766,955.0,4.0,1.08,2.803691239,1,['Contact time'],0.37886638,0.926482502270006,0.3580158249099767,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.2041974229000287,1.9879297813796528,6.807541597505851,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4775,955.0,4.25,0.72,2.803691239,1,['Contact time'],0.37886638,0.9244293017186528,0.6248007878576658,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.820109672388182,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4776,955.0,4.25,0.792,2.803691239,1,['Contact time'],0.37886638,0.9240369593435354,0.5509962789417102,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.800156222905994,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4777,955.0,4.25,0.864,2.803691239,1,['Contact time'],0.37886638,0.923718945813082,0.4849414427496299,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.780202773423842,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4778,955.0,4.25,0.936,2.803691239,1,['Contact time'],0.37886638,0.9234752737658224,0.4261905184655319,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.760249323941683,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4779,955.0,4.25,1.008,2.803691239,1,['Contact time'],0.37886638,0.9233059527678824,0.3741936075578849,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.740295874459481,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4780,955.0,4.25,1.08,2.803691239,1,['Contact time'],0.37886638,0.9232109893121444,0.3283326132500548,0.3788663799999999,0.3878092174430834,0.40057114,0.3753457191983815,1.2028250739896351,1.88117947560729,6.720342424977372,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4789,955.0,4.5,0.72,2.803691239,1,['Contact time'],0.37886638,0.9219588987452064,0.5427932519704797,0.3788663799999999,0.382931306110494,0.3774824,0.3754585337137905,1.1917708628654062,1.88117947560729,6.732910499859647,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4790,955.0,4.5,0.792,2.803691239,1,['Contact time'],0.37886638,0.9215663539529224,0.4658132133660615,0.3788663799999999,0.382931306110494,0.3774824,0.3754585337137905,1.1917708628654062,1.88117947560729,6.712957050377502,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4791,955.0,4.5,0.864,2.803691239,1,['Contact time'],0.37886638,0.921248171887572,0.3974876469233592,0.3788663799999999,0.382931306110494,0.3774824,0.3754585337137905,1.1917708628654062,1.88117947560729,6.693003600895335,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4792,955.0,4.5,0.936,2.803691239,1,['Contact time'],0.37886638,0.9210043651949203,0.3373191046539219,0.3788663799999999,0.382931306110494,0.3774824,0.3754585337137905,1.1917708628654062,1.88117947560729,6.673050151413169,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4886,978.2,1.0,0.144,5.12880424,1,['pCH4_per_pO2'],1.027946967,1.0690152122123813,0.0053906060520126,0.019983443,0.0447135268083076,0.2264335,0.0787558686765021,1.2688843390244398,0.5097168190987906,8.324375421557267,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4887,978.2,1.0,0.216,4.847765304,1,['pCH4_per_pO2'],1.027946967,1.065736951872835,0.0049578418163462,0.0,0.0030015083476775,0.11189083,-0.0554306010236422,1.2361657948415967,0.1211963948615251,8.304421972075101,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4888,978.2,1.0,0.288,4.847765304,1,['pCH4_per_pO2'],1.28213905825,1.0625314005195383,0.0045893009976454,0.0,0.0023704363476775,0.104629405,-0.0188812141986607,1.2457374474310468,0.1211963948615251,8.284468522592977,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4907,978.2,1.25,0.144,5.12880424,1,['pCH4_per_pO2'],1.027946967,1.0541122038881312,0.0117453718856413,0.019983443,0.0447135268083076,0.2264335,0.0787558686765021,1.2688843390244398,0.5097168190987906,8.237176249028781,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4908,978.2,1.25,0.216,4.847765304,1,['pCH4_per_pO2'],1.027946967,1.050829396140995,0.0108771743457192,0.0,0.0030015083476775,0.11189083,-0.0554306010236422,1.2361657948415967,0.1211963948615251,8.217222799546615,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4909,978.2,1.25,0.288,4.847765304,1,['pCH4_per_pO2'],1.28213905825,1.047619503247116,0.0101459919165562,0.0,0.0023704363476775,0.104629405,-0.0188812141986607,1.2457374474310468,0.1211963948615251,8.197269350064463,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4928,978.2,1.5,0.144,5.12880424,1,['pCH4_per_pO2'],1.027946967,1.0400253323957669,0.0245669413871894,0.019983443,0.0447135268083076,0.2264335,0.0787558686765021,1.2688843390244398,0.5097168190987906,8.149977076500303,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4929,978.2,1.5,0.216,4.847765304,1,['pCH4_per_pO2'],1.027946967,1.03673851218311,0.022936845412995,0.0,0.0030015083476775,0.11189083,-0.0554306010236422,1.2361657948415967,0.1211963948615251,8.130023627018172,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4930,978.2,1.5,0.288,4.847765304,1,['pCH4_per_pO2'],1.28213905825,1.0335248013819118,0.0215802144119623,0.0,0.0023704363476775,0.104629405,-0.0188812141986607,1.2457374474310468,0.1211963948615251,8.110070177536013,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4949,978.2,1.75,0.144,5.12880424,1,['pCH4_per_pO2'],1.027946967,1.026761371458921,0.0491602962456148,0.019983443,0.0447135268083076,0.2264335,0.0787558686765021,1.2688843390244398,0.5097168190987906,8.06277790397181,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4950,978.2,1.75,0.216,4.847765304,1,['pCH4_per_pO2'],1.027946967,1.0234710757029335,0.0462941534477536,0.0,0.0030015083476775,0.11189083,-0.0554306010236422,1.2361657948415967,0.1211963948615251,8.042824454489608,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4951,978.2,1.75,0.288,4.847765304,1,['pCH4_per_pO2'],1.28213905825,1.0202540725146036,0.0439391857012232,0.0,0.0023704363476775,0.104629405,-0.0188812141986607,1.2457374474310468,0.1211963948615251,8.022871005007485,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4971,978.2,2.0,0.216,3.114366443,1,['pCH4_per_pO2'],1.027946967,1.0110334777974144,0.0889640598160999,0.0,0.0030015083476775,0.11189083,-0.0554306010236422,1.2361657948415967,0.1211963948615251,7.955625281961123,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
4972,978.2,2.0,0.288,3.114366443,1,['pCH4_per_pO2'],1.28213905825,1.007813709370966,0.0851344375955485,0.0,0.0023704363476775,0.104629405,-0.0188812141986607,1.2457374474310468,0.1211963948615251,7.935671832478992,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
