Na_C_mol%,Mn_C_mol%,W_C_mol%,Si_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
8.9,3.5,4.5,83.1,1.0,973.0,4.0,1.0,1.33,25.2
8.9,3.5,4.5,83.1,1.0,1093.0,4.0,1.0,0.12,15.5
8.9,3.5,4.5,83.1,1.0,1023.0,8.1,1.0,0.04,10.8
8.9,3.5,4.5,83.1,1.0,1073.0,3.2,1.0,0.14,19.6
8.9,3.5,4.5,83.1,1.0,1073.0,2.5,1.0,0.11,19.2
8.9,3.5,4.5,83.1,1.0,1093.0,4.0,1.0,0.12,20.7
8.9,3.5,4.5,83.1,1.0,973.0,2.0,1.0,0.22,17.5
8.9,3.5,4.5,83.1,1.0,1073.0,2.0,1.0,0.27,20.7
2.1,2.25,1.05,94.6,1.0,1092.0,2.1,1.0,0.15,17.8
2.1,2.25,1.05,94.6,1.0,1124.0,2.2,1.0,0.15,18.0
2.1,2.25,1.05,94.6,1.0,1175.0,2.0,1.0,0.15,23.9
2.1,2.25,1.05,94.6,1.0,1123.0,2.7,1.0,0.15,17.0
2.1,2.25,1.05,94.6,1.0,1151.0,2.7,1.0,0.15,19.5
2.1,2.25,1.05,94.6,1.0,1172.0,3.0,1.0,0.15,22.9
2.1,2.25,1.05,94.6,1.0,1182.0,3.0,1.0,0.15,23.8
2.1,2.25,1.05,94.6,1.0,1181.0,2.7,1.0,0.15,24.7
2.08,2.23,1.04,94.65,1.0,1121.0,2.2,1.0,0.02,16.0
2.08,2.23,1.04,94.65,1.0,1152.0,2.2,1.0,0.02,20.0
2.08,2.23,1.04,94.65,1.0,1185.0,2.4,1.0,0.02,22.0
2.08,2.23,1.04,94.65,1.0,1004.0,1.9,1.0,0.04,2.6
2.08,2.23,1.04,94.65,1.0,1056.0,1.8,1.0,0.04,10.4
2.08,2.23,1.04,94.65,1.0,1153.0,1.9,1.0,0.04,22.1
2.08,2.23,1.04,94.65,1.0,1175.0,1.8,1.0,0.05,21.2
2.08,2.23,1.04,94.65,1.0,1121.0,2.2,1.0,0.05,15.9
2.08,2.23,1.04,94.65,1.0,1152.0,2.2,1.0,0.05,20.0
2.08,2.23,1.04,94.65,1.0,1185.0,2.4,1.0,0.05,21.6
2.08,2.23,1.04,94.65,1.0,1083.0,4.9,1.0,0.04,12.2
2.08,2.23,1.04,94.65,1.0,1073.0,2.5,1.0,0.05,10.1
2.08,2.23,1.04,94.65,1.0,1073.0,2.5,1.0,0.05,17.8
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,1.95,18.1
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,1.95,20.0
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.06,6.1
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,23.3
2.08,2.23,1.04,94.66,1.0,1013.0,2.0,1.0,0.55,13.9
2.08,2.23,1.04,94.66,1.0,1033.0,2.0,1.0,0.55,18.3
2.08,2.23,1.04,94.66,1.0,1053.0,2.0,1.0,0.55,19.8
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,19.7
2.08,2.23,1.04,94.66,1.0,1093.0,2.0,1.0,0.55,20.0
2.08,2.23,1.04,94.66,1.0,1073.0,1.0,1.0,0.55,22.0
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,20.8
2.08,2.23,1.04,94.66,1.0,1073.0,3.0,1.0,0.55,17.9
2.08,2.23,1.04,94.66,1.0,1073.0,4.0,1.0,0.55,13.2
2.08,2.23,1.04,94.66,1.0,1073.0,5.0,1.0,0.55,11.5
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.36,20.0
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,1.44,18.7
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.9,19.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.72,18.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.51,17.1
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.42,16.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.36,15.5
2.08,2.23,1.04,94.65,1.0,1056.0,1.8,1.0,0.02,10.0
2.08,2.23,1.04,94.65,1.0,1153.0,1.9,1.0,0.02,22.0
2.08,2.23,1.04,94.65,1.0,1175.0,1.8,1.0,0.02,21.0
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.37,5.8
2.08,2.23,1.04,94.65,1.0,1122.0,2.1,1.0,0.14,7.5
2.08,2.23,1.04,94.65,1.0,1157.0,2.1,1.0,0.14,12.1
2.08,2.23,1.04,94.65,1.0,1187.0,2.1,1.0,0.14,14.2
2.08,2.23,1.04,94.65,1.0,1048.0,3.0,1.0,0.36,15.3
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.36,17.1
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.36,16.5
2.08,2.23,1.04,94.65,1.0,903.0,3.0,1.0,0.37,0.7
2.08,2.23,1.04,94.65,1.0,918.0,3.0,1.0,0.37,1.0
2.08,2.23,1.04,94.65,1.0,933.0,3.0,1.0,0.37,1.5
2.08,2.23,1.04,94.65,1.0,958.0,3.0,1.0,0.37,2.4
2.08,2.23,1.04,94.65,1.0,973.0,3.0,1.0,0.37,3.7
2.08,2.23,1.04,94.65,1.0,1008.0,3.0,1.0,0.37,4.8
2.08,2.23,1.04,94.65,1.0,1023.0,3.0,1.0,0.37,6.0
2.08,2.23,1.04,94.65,1.0,993.0,3.0,1.0,0.19,2.9
2.08,2.23,1.04,94.65,1.0,1018.0,3.0,1.0,0.19,5.0
2.08,2.23,1.04,94.65,1.0,1038.0,3.0,1.0,0.19,6.3
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.19,8.4
2.08,2.23,1.04,94.65,1.0,1093.0,3.0,1.0,0.19,11.4
2.08,2.23,1.04,94.65,1.0,1113.0,3.0,1.0,0.19,11.0
2.08,2.23,1.04,94.65,1.0,1128.0,3.0,1.0,0.19,11.1
2.08,2.23,1.04,94.65,1.0,988.0,3.0,1.0,0.09,2.3
2.08,2.23,1.04,94.65,1.0,1013.0,3.0,1.0,0.09,4.1
2.08,2.23,1.04,94.65,1.0,1038.0,3.0,1.0,0.09,8.2
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.09,13.3
2.08,2.23,1.04,94.65,1.0,1098.0,3.0,1.0,0.09,19.2
2.08,2.23,1.04,94.65,1.0,1113.0,3.0,1.0,0.09,19.3
2.08,2.23,1.04,94.65,1.0,1133.0,3.0,1.0,0.09,18.4
2.08,2.23,1.04,94.65,1.0,1148.0,3.0,1.0,0.09,18.3
2.1,2.25,1.05,94.6,1.0,1113.0,3.0,1.0,0.04,13.8
2.1,2.25,1.05,94.6,1.0,1113.0,4.0,1.0,0.04,14.7
2.1,2.25,1.05,94.6,1.0,1113.0,5.0,1.0,0.04,12.6
2.1,2.25,1.05,94.6,1.0,1113.0,6.0,1.0,0.04,11.9
2.1,2.25,1.05,94.6,1.0,1053.0,3.0,1.0,0.04,0.6
2.1,2.25,1.05,94.6,1.0,1073.0,3.0,1.0,0.04,4.8
2.1,2.25,1.05,94.6,1.0,1093.0,3.0,1.0,0.04,13.6
2.1,2.25,1.05,94.6,1.0,1133.0,3.0,1.0,0.04,13.4
2.1,2.25,1.05,94.6,1.0,1153.0,3.0,1.0,0.04,12.6
2.1,2.25,1.05,94.6,1.0,1173.0,3.0,1.0,0.04,12.2
2.08,2.23,1.04,94.65,1.0,1048.0,4.0,1.0,0.05,14.5
2.08,2.23,1.04,94.65,1.0,1048.0,4.0,1.0,0.04,6.7
2.08,2.23,1.04,94.65,1.0,1048.0,4.0,1.0,0.04,8.1
2.08,2.23,1.04,94.65,1.0,1048.0,4.0,1.0,0.04,5.4
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.0,18.3
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.0,14.6
2.08,2.23,1.04,94.65,1.0,1048.0,3.0,1.0,0.0,21.5
2.08,2.23,1.04,94.65,1.0,1023.0,3.0,1.0,0.0,16.0
2.08,2.23,1.04,94.65,1.0,1048.0,3.0,1.0,0.0,18.3
2.08,2.23,1.04,94.65,1.0,1023.0,3.0,1.0,0.0,16.5
2.08,2.23,1.04,94.65,1.0,723.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,748.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,773.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,798.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,823.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,848.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,873.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,898.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,923.0,4.0,1.0,0.01,0.0
2.08,2.23,1.04,94.65,1.0,948.0,4.0,1.0,0.01,0.2
2.08,2.23,1.04,94.65,1.0,973.0,4.0,1.0,0.01,0.5
2.08,2.23,1.04,94.65,1.0,998.0,4.0,1.0,0.01,1.9
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.01,6.2
2.08,2.23,1.04,94.65,1.0,1048.0,4.0,1.0,0.01,12.3
2.08,2.23,1.04,94.65,1.0,1073.0,4.0,1.0,0.01,13.2
2.08,2.23,1.04,94.65,1.0,1073.0,2.0,1.0,0.36,19.5
2.08,2.23,1.04,94.65,1.0,823.0,4.0,1.0,0.07,0.1
2.08,2.23,1.04,94.65,1.0,873.0,4.0,1.0,0.07,0.3
2.08,2.23,1.04,94.65,1.0,923.0,4.0,1.0,0.07,0.4
2.08,2.23,1.04,94.65,1.0,973.0,4.0,1.0,0.07,2.7
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.07,16.2
2.08,2.23,1.04,94.65,1.0,1073.0,4.0,1.0,0.07,23.2
2.08,2.23,1.04,94.65,1.0,1023.0,3.0,1.0,0.36,20.0
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.36,19.5
2.08,2.23,1.04,94.65,1.0,1123.0,3.0,1.0,0.36,17.3
2.08,2.23,1.04,94.65,1.0,1043.0,4.0,1.2,0.13,12.4
3.62,1.62,0.68,94.07,1.0,873.0,6.0,0.4,0.23,0.0
3.62,1.62,0.68,94.07,1.0,923.0,6.0,0.4,0.23,0.0
3.62,1.62,0.68,94.07,1.0,948.0,6.0,0.4,0.23,1.9
3.62,1.62,0.68,94.07,1.0,973.0,6.0,0.4,0.23,16.7
3.62,1.62,0.68,94.07,1.0,873.0,6.0,0.4,0.25,0.0
3.62,1.62,0.68,94.07,1.0,923.0,6.0,0.4,0.25,0.1
3.62,1.62,0.68,94.07,1.0,948.0,6.0,0.4,0.25,2.1
3.62,1.62,0.68,94.07,1.0,973.0,6.0,0.4,0.25,14.5
3.62,1.62,0.68,94.07,1.0,983.0,6.0,0.4,0.25,15.7
3.62,1.62,0.68,94.07,1.0,988.0,6.0,0.4,0.25,16.4
3.62,1.62,0.68,94.07,1.0,873.0,6.0,0.4,0.28,0.0
3.62,1.62,0.68,94.07,1.0,923.0,6.0,0.4,0.28,0.0
3.62,1.62,0.68,94.07,1.0,948.0,6.0,0.4,0.28,1.8
3.62,1.62,0.68,94.07,1.0,973.0,6.0,0.4,0.28,4.9
3.62,1.62,0.68,94.07,1.0,983.0,6.0,0.4,0.28,15.3
3.62,1.62,0.68,94.07,1.0,998.0,6.0,0.4,0.28,16.3
3.62,1.62,0.68,94.07,1.0,873.0,3.0,0.3,0.23,0.0
3.62,1.62,0.68,94.07,1.0,923.0,3.0,0.3,0.23,0.0
3.62,1.62,0.68,94.07,1.0,948.0,3.0,0.3,0.23,0.3
3.62,1.62,0.68,94.07,1.0,973.0,3.0,0.3,0.23,23.6
3.62,1.62,0.68,94.07,1.0,948.0,3.0,0.3,0.23,0.6
3.62,1.62,0.68,94.07,1.0,973.0,3.0,0.3,0.23,23.9
3.62,1.62,0.68,94.07,1.0,948.0,3.0,0.3,0.23,1.6
3.62,1.62,0.68,94.07,1.0,973.0,3.0,0.3,0.23,3.4
3.62,1.62,0.68,94.07,1.0,1003.0,3.0,0.3,0.23,24.3
3.62,1.62,0.68,94.07,1.0,1008.0,3.0,0.3,0.23,24.7
3.62,1.62,0.68,94.07,1.0,873.0,3.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,923.0,3.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,973.0,3.0,0.2,0.28,0.6
3.62,1.62,0.68,94.07,1.0,1008.0,3.0,0.2,0.28,23.7
3.62,1.62,0.68,94.07,1.0,873.0,4.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,923.0,4.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,973.0,4.0,0.2,0.28,1.5
3.62,1.62,0.68,94.07,1.0,1008.0,4.0,0.2,0.28,6.0
3.62,1.62,0.68,94.07,1.0,1023.0,4.0,0.2,0.28,23.0
3.62,1.62,0.68,94.07,1.0,873.0,6.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,923.0,6.0,0.2,0.28,0.0
3.62,1.62,0.68,94.07,1.0,973.0,6.0,0.2,0.28,0.5
3.62,1.62,0.68,94.07,1.0,1008.0,6.0,0.2,0.28,4.5
3.62,1.62,0.68,94.07,1.0,1023.0,6.0,0.2,0.28,7.1
3.62,1.62,0.68,94.07,1.0,1048.0,6.0,0.2,0.28,21.2
3.62,1.62,0.68,94.07,1.0,1123.0,3.0,1.0,0.9,21.1
3.62,1.62,0.68,94.07,1.0,1123.0,4.0,1.0,0.9,18.6
3.62,1.62,0.68,94.07,1.0,1123.0,5.0,1.0,0.9,16.3
3.62,1.62,0.68,94.07,1.0,1123.0,6.0,1.0,0.9,14.7
3.62,1.62,0.68,94.07,1.0,1048.0,4.0,1.0,0.9,9.4
3.62,1.62,0.68,94.07,1.0,1073.0,4.0,1.0,0.9,13.0
3.62,1.62,0.68,94.07,1.0,1098.0,4.0,1.0,0.9,16.0
2.62,2.19,0.98,94.21,1.0,1021.0,4.0,1.2,0.95,1.0
2.62,2.19,0.98,94.21,1.0,1031.0,4.0,1.2,0.95,1.4
2.62,2.19,0.98,94.21,1.0,1041.0,4.0,1.2,0.95,2.0
2.62,2.19,0.98,94.21,1.0,1052.0,4.0,1.2,0.95,2.7
2.62,2.19,0.98,94.21,1.0,1061.0,4.0,1.2,0.95,4.1
2.62,2.19,0.98,94.21,1.0,1071.0,4.0,1.2,0.95,5.5
2.15,1.08,1.08,95.7,1.0,1073.0,5.0,1.0,0.13,23.4
2.15,1.08,1.08,95.7,1.0,1073.0,4.8,1.0,0.13,20.1
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,0.07,11.2
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,0.21,8.0
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,0.42,18.0
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,0.64,18.5
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,1.06,17.2
2.13,8.55,1.07,88.25,1.0,973.0,3.0,1.0,2.12,14.7
2.11,0.79,1.06,96.05,1.0,1023.0,4.0,1.0,0.02,4.1
2.11,0.79,1.06,96.05,1.0,1023.0,4.0,1.0,0.01,2.3
2.11,0.79,1.06,96.05,1.0,1098.0,2.5,1.0,0.01,19.1
2.11,0.79,1.06,96.05,1.0,1098.0,2.5,1.0,0.01,20.6
2.11,0.79,1.06,96.05,1.0,1098.0,3.0,1.0,0.01,16.0
2.11,0.79,1.06,96.05,1.0,1073.0,4.0,1.0,0.0,10.9
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,8.6
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,11.7
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,15.7
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,16.4
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,18.6
2.08,4.44,1.04,92.44,1.0,1123.0,5.0,0.9,0.0,17.9
2.08,4.44,1.04,92.44,1.0,1048.0,7.5,0.9,0.0,7.81
2.08,4.44,1.04,92.44,1.0,1073.0,7.5,0.9,0.0,9.88
2.08,4.44,1.04,92.44,1.0,1098.0,7.5,0.9,0.0,10.125
2.08,4.44,1.04,92.44,1.0,1123.0,7.5,0.9,0.0,10.64
2.08,4.44,1.04,92.44,1.0,1148.0,7.5,0.9,0.0,10.23
3.09,8.26,1.64,87.01,1.0,953.0,3.0,1.0,0.06,0.1
3.09,8.26,1.64,87.01,1.0,973.0,3.0,1.0,0.06,0.9
3.09,8.26,1.64,87.01,1.0,1023.0,3.0,1.0,0.06,11.6
3.09,8.26,1.64,87.01,1.0,1043.0,3.0,1.0,0.06,19.4
3.09,8.26,1.64,87.01,1.0,1073.0,3.0,1.0,0.06,22.6
3.09,8.26,1.64,87.01,1.0,1093.0,3.0,1.0,0.13,22.9
3.09,8.26,1.64,87.01,1.0,1073.0,3.0,1.0,0.13,14.0
3.09,8.26,1.64,87.01,1.0,1073.0,3.0,1.0,0.04,7.7
3.09,8.26,1.64,87.01,1.0,1073.0,2.0,1.0,0.06,19.2
3.09,8.26,1.64,87.01,1.0,1073.0,4.0,1.0,0.06,12.7
3.09,8.26,1.64,87.01,1.0,1073.0,5.0,1.0,0.06,9.1
3.09,8.26,1.64,87.01,1.0,1121.0,3.0,1.0,0.06,23.8
2.05,2.19,1.02,90.0,1.0,1048.0,3.0,1.0,0.36,2.6
2.05,2.19,1.02,90.0,1.0,1073.0,3.0,1.0,0.36,7.8
4.23,5.66,2.12,87.99,1.0,938.0,4.0,1.0,0.43,2.4
4.23,5.66,2.12,87.99,1.0,988.0,4.0,1.0,0.43,18.4
4.23,5.66,2.12,87.99,1.0,1003.0,4.0,1.0,0.43,20.2
4.23,5.66,2.12,87.99,1.0,1013.0,4.0,1.0,0.43,21.1
4.23,5.66,2.12,87.99,1.0,1031.0,4.0,1.0,0.43,19.5
4.23,5.66,2.12,87.99,1.0,1033.0,4.0,1.0,0.43,19.6
4.23,5.66,2.12,87.99,1.0,1054.0,4.0,1.0,0.43,17.9
4.23,5.66,2.12,87.99,1.0,1079.0,4.0,1.0,0.43,15.8
4.23,5.66,2.12,87.99,1.0,1013.0,2.0,1.0,0.43,19.0
4.23,5.66,2.12,87.99,1.0,1013.0,3.0,1.0,0.43,17.2
4.23,5.66,2.12,87.99,1.0,1013.0,5.0,1.0,0.43,10.3
4.32,4.82,2.16,88.7,1.0,1073.0,5.0,1.0,0.16,17.4
4.32,4.82,2.16,88.7,1.0,1053.0,5.0,1.0,0.16,16.1
4.32,4.82,2.16,88.7,1.0,1033.0,5.0,1.0,0.16,13.4
4.32,4.82,2.16,88.7,1.0,1013.0,5.0,1.0,0.16,7.6
4.32,4.82,2.16,88.7,1.0,993.0,5.0,1.0,0.16,4.6
4.32,4.82,2.16,88.7,1.0,953.0,5.0,1.0,0.16,0.2
2.08,2.11,1.04,94.76,0.0,1073.0,5.0,1.0,0.05,12.4
2.08,2.11,1.04,94.76,1.0,923.0,7.4,1.0,0.07,0.3
2.08,2.11,1.04,94.76,1.0,948.0,7.4,1.0,0.07,3.0
2.08,2.11,1.04,94.76,1.0,998.0,7.4,1.0,0.07,7.9
2.08,2.11,1.04,94.76,1.0,1048.0,7.4,1.0,0.07,13.2
2.08,2.11,1.04,94.76,1.0,1073.0,7.4,1.0,0.07,13.9
1.24,2.1,0.62,96.04,0.0,1073.0,5.0,1.0,0.05,18.3
1.24,2.1,0.62,96.04,0.0,1043.0,5.0,1.0,0.05,9.7
1.24,2.1,0.62,96.04,0.0,1063.0,5.0,1.0,0.05,14.6
1.24,2.1,0.62,96.04,0.0,1083.0,5.0,1.0,0.05,18.3
1.24,2.1,0.62,96.04,0.0,1103.0,5.0,1.0,0.05,16.0
1.24,2.1,0.62,96.04,0.0,1123.0,5.0,1.0,0.05,16.0
1.24,2.1,0.62,96.04,0.0,1143.0,5.0,1.0,0.05,15.1
1.24,2.1,0.62,96.04,0.0,1163.0,5.0,1.0,0.05,14.1
1.24,2.1,0.62,96.04,0.0,1183.0,2.0,1.0,0.05,19.6
1.24,2.1,0.62,96.04,0.0,1183.0,3.0,1.0,0.05,18.3
1.24,2.1,0.62,96.04,0.0,1183.0,4.0,1.0,0.05,17.5
1.24,2.1,0.62,96.04,0.0,1183.0,5.0,1.0,0.05,17.6
1.24,2.1,0.62,96.04,0.0,1183.0,6.0,1.0,0.05,11.4
8.76,14.05,4.38,72.81,1.0,873.0,5.0,1.0,0.11,1.4
8.76,14.05,4.38,72.81,1.0,923.0,5.0,1.0,0.11,8.3
8.76,14.05,4.38,72.81,1.0,973.0,5.0,1.0,0.11,11.0
8.76,14.05,4.38,72.81,1.0,1023.0,5.0,1.0,0.11,12.3
8.76,14.05,4.38,72.81,1.0,1073.0,5.0,1.0,0.11,11.5
8.76,14.05,4.38,72.81,1.0,1123.0,5.0,1.0,0.11,7.9
8.76,14.05,4.38,72.81,1.0,873.0,2.0,1.0,0.11,2.2
8.76,14.05,4.38,72.81,1.0,923.0,2.0,1.0,0.11,10.0
8.76,14.05,4.38,72.81,1.0,973.0,2.0,1.0,0.11,14.7
8.76,14.05,4.38,72.81,1.0,1023.0,2.0,1.0,0.11,15.6
8.76,14.05,4.38,72.81,1.0,1073.0,2.0,1.0,0.11,14.7
8.76,14.05,4.38,72.81,1.0,873.0,10.0,1.0,0.11,1.0
8.76,14.05,4.38,72.81,1.0,923.0,10.0,1.0,0.11,3.3
8.76,14.05,4.38,72.81,1.0,973.0,10.0,1.0,0.11,6.4
8.76,14.05,4.38,72.81,1.0,1023.0,10.0,1.0,0.11,6.3
8.76,14.05,4.38,72.81,1.0,1073.0,10.0,1.0,0.11,3.8
4.24,4.53,2.12,89.11,1.0,1073.0,5.0,1.0,0.16,14.8
4.24,4.53,2.12,89.11,1.0,1053.0,5.0,1.0,0.16,12.9
4.24,4.53,2.12,89.11,1.0,1033.0,5.0,1.0,0.16,11.2
4.24,4.53,2.12,89.11,1.0,1013.0,5.0,1.0,0.16,5.3
4.24,4.53,2.12,89.11,1.0,993.0,5.0,1.0,0.16,2.9
4.24,4.53,2.12,89.11,1.0,973.0,5.0,1.0,0.16,0.2
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,3.6
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,1.3
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,4.5
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,4.9
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,3.5
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,4.2
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,3.3
2.04,4.36,1.02,92.59,1.0,1023.0,4.0,1.0,0.02,5.4
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,2.0,0.11,17.1
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,5.0,0.11,11.9
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,10.0,0.11,5.4
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,2.0,0.11,24.5
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,5.0,0.11,17.5
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,10.0,0.11,11.3
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,2.0,0.11,26.2
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,5.0,0.06,20.7
2.07,3.14,1.04,93.75,1.0,1123.0,4.0,10.0,0.01,18.6
2.61,3.06,1.31,93.02,1.0,1073.0,4.0,1.0,0.0,1.0
2.61,3.06,1.31,93.02,1.0,1073.0,4.0,1.0,0.0,1.3
2.61,3.06,1.31,93.02,1.0,1073.0,4.0,1.0,0.0,2.9
2.61,3.06,1.31,93.02,1.0,1073.0,4.0,1.0,0.0,6.4
2.19,2.34,1.1,94.37,1.0,1113.0,2.6,1.0,0.04,10.7
2.15,2.16,1.07,94.62,1.0,1073.0,5.0,1.0,0.17,19.6
2.15,2.16,1.07,94.62,1.0,1053.0,5.0,1.0,0.17,13.7
2.15,2.16,1.07,94.62,1.0,1033.0,5.0,1.0,0.17,5.3
2.15,2.16,1.07,94.62,1.0,1013.0,5.0,1.0,0.17,1.1
2.15,2.16,1.07,94.62,1.0,993.0,5.0,1.0,0.17,0.6
2.1,2.14,1.05,94.71,1.0,973.0,7.4,1.0,0.37,1.0
2.1,2.14,1.05,94.71,1.0,1023.0,7.4,1.0,0.37,4.4
2.1,2.14,1.05,94.71,1.0,1073.0,7.4,1.0,0.37,7.7
2.1,1.56,1.05,95.3,1.0,1073.0,4.0,1.0,0.0,18.5
2.1,1.56,1.05,95.3,1.0,1073.0,3.0,1.0,0.05,19.2
2.1,1.56,1.05,95.3,1.0,1073.0,3.0,1.0,0.05,15.9
2.1,1.56,1.05,95.3,1.0,1073.0,3.0,1.0,0.05,5.7
2.1,1.56,1.05,95.3,1.0,1073.0,3.0,1.0,0.05,0.9
2.1,1.56,1.05,95.3,1.0,1023.0,6.0,1.0,0.01,9.1
2.1,1.56,1.05,95.3,1.0,1048.0,6.0,1.0,0.01,11.3
2.1,1.56,1.05,95.3,1.0,1073.0,6.0,1.0,0.01,12.9
2.1,1.56,1.05,95.3,1.0,1073.0,9.0,1.0,0.01,8.5
2.1,1.56,1.05,95.3,1.0,1073.0,12.0,1.0,0.01,8.3
2.1,1.56,1.05,95.3,1.0,1073.0,15.0,1.0,0.01,6.5
2.1,1.56,1.05,95.3,1.0,1073.0,18.0,1.0,0.01,5.6
2.1,1.56,1.05,95.3,1.0,1073.0,21.0,1.0,0.01,5.1
